Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,70.335999,70.658997,69.889999,70.122002,70.122002,0
2003-12-02,70.140999,70.621002,70.065002,70.195000,70.195000,0
2003-12-03,70.231003,70.478996,69.738998,69.945000,69.945000,0
2003-12-04,69.849998,70.079002,69.577003,69.845001,69.845001,0
2003-12-05,69.805000,69.950996,69.143997,69.336998,69.336998,0
2003-12-08,69.280998,69.719002,69.261002,69.471001,69.471001,0
2003-12-09,69.466003,69.598000,69.136002,69.380997,69.380997,0
2003-12-10,69.388000,70.307999,69.327003,70.121002,70.121002,0
2003-12-11,70.135002,70.207001,69.515999,69.942001,69.942001,0
2003-12-12,69.967003,70.223999,69.587997,69.570999,69.570999,0
2003-12-15,69.677002,69.953003,69.594002,69.860001,69.860001,0
2003-12-16,69.860001,70.115997,69.719002,69.945000,69.945000,0
2003-12-17,69.887001,70.121002,69.148003,69.342003,69.342003,0
2003-12-18,69.363998,69.906998,69.172997,69.778999,69.778999,0
2003-12-19,69.790001,69.814003,69.174004,69.283997,69.283997,0
2003-12-22,69.217003,69.489998,68.732002,68.857002,68.857002,0
2003-12-23,68.851997,72.254997,68.622002,69.035004,69.035004,0
2003-12-24,69.008003,69.500999,68.779999,69.393997,69.393997,0
2003-12-25,69.414001,69.492996,69.272003,69.367996,69.367996,0
2003-12-26,69.352997,69.570000,69.107002,69.463997,69.463997,0
2003-12-29,69.461998,69.774002,69.169998,69.680000,69.680000,0
2003-12-30,69.596001,70.177002,69.470001,70.097000,70.097000,0
2003-12-31,70.106003,70.446999,69.981003,70.446999,70.446999,0
2004-01-01,70.446999,70.785004,70.164001,70.237999,70.237999,0
2004-01-02,70.233002,70.546997,69.470001,70.484001,70.484001,0
2004-01-05,70.742996,71.565002,70.400002,71.195000,71.195000,0
2004-01-06,71.179001,71.629997,70.852997,71.208000,71.208000,0
2004-01-07,71.224998,71.486000,70.889999,71.179001,71.179001,0
2004-01-08,71.151001,72.079002,70.991997,71.887001,71.887001,0
2004-01-09,71.872002,72.973000,71.820000,72.724998,72.724998,0
2004-01-12,72.764000,73.027000,72.389999,72.473999,72.473999,0
2004-01-13,72.445999,73.120003,72.313004,72.788002,72.788002,0
