Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,85.306999,85.412003,84.181999,84.038002,84.038002,0
2003-12-02,84.078003,84.802002,83.873001,84.447998,84.447998,0
2003-12-03,84.416000,84.521004,83.760002,84.213997,84.213997,0
2003-12-04,84.248001,84.346001,83.642998,84.055000,84.055000,0
2003-12-05,83.980003,84.540001,83.758003,84.253998,84.253998,0
2003-12-08,84.328003,84.924004,84.167999,84.710999,84.710999,0
2003-12-09,84.731003,85.077003,84.422997,84.761002,84.761002,0
2003-12-10,84.747002,85.751999,84.459999,85.361000,85.361000,0
2003-12-11,85.290001,85.501999,84.553001,85.050003,85.050003,0
2003-12-12,85.089996,85.474998,84.889999,85.290001,85.290001,0
2003-12-15,84.746002,85.459999,84.689003,85.407997,85.407997,0
2003-12-16,85.447998,85.629997,85.199997,85.369003,85.369003,0
2003-12-17,85.308998,85.763000,85.081001,85.595001,85.595001,0
2003-12-18,85.603996,86.199997,85.544998,86.109001,86.109001,0
2003-12-19,86.029999,86.155998,85.625000,85.839996,85.839996,0
2003-12-22,85.778000,85.986000,85.394997,85.468002,85.468002,0
2003-12-23,85.446999,86.193001,85.140999,85.449997,85.449997,0
2003-12-24,85.407997,86.112000,85.310997,85.977997,85.977997,0
2003-12-25,85.984001,86.000000,85.769997,85.916000,85.916000,0
2003-12-26,85.903000,85.991997,85.424004,85.651001,85.651001,0
2003-12-29,85.587997,85.800003,85.370003,85.620003,85.620003,0
2003-12-30,85.609001,86.214996,85.563004,86.119003,86.119003,0
2003-12-31,86.070999,86.783997,86.026001,86.657997,86.657997,0
2004-01-01,86.657997,86.657997,85.690002,86.515999,86.515999,0
2004-01-02,86.499001,86.591003,85.995003,86.375999,86.375999,0
2004-01-05,86.570000,87.000000,85.903000,86.242996,86.242996,0
2004-01-06,86.211998,86.714996,86.021004,86.110001,86.110001,0
2004-01-07,86.143997,86.315002,85.510002,85.599998,85.599998,0
2004-01-08,85.625999,86.699997,85.008003,86.544998,86.544998,0
2004-01-09,86.543999,87.529999,86.430000,87.333000,87.333000,0
2004-01-12,87.430000,87.639999,86.675003,86.791000,86.791000,0
2004-01-13,86.730003,87.098000,86.545998,87.093002,87.093002,0
2004-01-14,87.067001,87.067001,85.378998,86.209000,86.209000,0
2004-01-15,86.207001,86.286003,85.139999,85.456001,85.456001,0
2004-01-16,85.476997,85.486000,83.986000,84.322998,84.322998,0
2004-01-19,84.230003,84.720001,83.913002,84.360001,84.360001,0
2004-01-20,84.359001,86.080002,84.338997,85.886002,85.886002,0
2004-01-21,85.903000,86.371002,85.720001,86.321999,86.321999,0
